Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Fatafat Banake do.,UD-1,10043,Epic,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,High,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 10:44 AM,01/Apr/26 10:44 AM,,,Kardo 1,15/Apr/26 12:00 AM,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7236c928,,,,,ghx-label-3,,To Do,,,,yellow,,,,,0|i0002f:,,,UD Sprint 1,01/Apr/26 12:00 AM,,,,,,,,,,,,,,To Do,01/Apr/26 10:44 AM
AS A USER I SHOULD BE ABLE TO RIGISTER/SIGNUP,UD-2,10044,Story,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,High,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 10:49 AM,01/Apr/26 10:56 AM,,,Kardo 1,04/Apr/26 12:00 AM,0,AS A USER I SHOULD BE ABLE TO SIGNUP AND DO REGISTERATION.,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7881708f,,,,,,,,,,,,,,,,0|i0002n:,,,UD Sprint 1,01/Apr/26 12:00 AM,,,,,,,,,,,10043,UD-1,Fatafat Banake do.,To Do,01/Apr/26 10:49 AM
AS A USER I SHOULD BE ABLE TO SOCIAL LOGIN,UD-3,10045,Story,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 10:49 AM,01/Apr/26 10:56 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@df34987,,,,,,,,,,,,,,,,0|i0002v:,,,UD Sprint 1,,,,,,,,,,,,10043,UD-1,Fatafat Banake do.,To Do,01/Apr/26 10:49 AM
AS A USER I SHOULD BE ABLE TO LOGIN THROUGH MOBILE / EMAIL,UD-4,10046,Story,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 10:51 AM,01/Apr/26 10:56 AM,01/Apr/26 2:44 PM,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@564d9db5,,,,,,,,,,,,,,,,0|i00033:,,,UD Sprint 1,,,,,,,,,,,,10043,UD-1,Fatafat Banake do.,To Do,01/Apr/26 10:51 AM
USER NAVIGATION,UD-5,10047,Epic,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 11:26 AM,01/Apr/26 11:27 AM,,,Kardo 1,30/Apr/26 12:00 AM,0,AS A USER I SHOULD BE ABLE TO NAVIGATE FREELY,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@562a8d38,,,,,ghx-label-11,,To Do,,,,teal,,,,,0|i0003b:,,,UD Sprint 1,15/Apr/26 12:00 AM,,,,,,,,,,,,,,To Do,01/Apr/26 11:27 AM
AS A USER I SHOULD BE ABLE TO NAVIGATE IN THE DASHBOARD / HOME PAGE,UD-6,10049,Story,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 11:31 AM,01/Apr/26 11:31 AM,,,Kardo 1,17/Apr/26 12:00 AM,0,AS A USER I SHOULD BE ABLE TO NAVIGGATE IN THE DASHBOARD / HOME PAGE,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@63162e55,,,,,,,,,,,,,,,,0|i0003j:,,,UD Sprint 1,15/Apr/26 12:00 AM,,,,,,,,,,,10047,UD-5,USER NAVIGATION,To Do,01/Apr/26 11:31 AM
AS A USER I SHOULD BE ABLE TO USE THE HEADER SECTION,UD-7,10050,Story,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 11:32 AM,01/Apr/26 11:32 AM,01/Apr/26 2:40 PM,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@ef16b8d,,,,,,,,,,,,,,,,0|i0003r:,,,UD Sprint 1,,,,,,,,,,,,10047,UD-5,USER NAVIGATION,To Do,01/Apr/26 11:32 AM
AS A USER I SHOULD BE ABLE TO SEE MY PROFILE,UD-8,10051,Story,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 11:33 AM,01/Apr/26 11:33 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@777ab412,,,,,,,,,,,,,,,,0|i0003z:,,,UD Sprint 1,,,,,,,,,,,,10047,UD-5,USER NAVIGATION,To Do,01/Apr/26 11:33 AM
AS A USER I SHOULD BE ABLE TO EDIT MY PROFILE ACCOUNT,UD-9,10052,Story,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 11:33 AM,01/Apr/26 11:33 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4d476956,,,,,,,,,,,,,,,,0|i00047:,,,UD Sprint 1,,,,,,,,,,,,10047,UD-5,USER NAVIGATION,To Do,01/Apr/26 11:33 AM
COURSE DETAILS,UD-10,10053,Epic,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 11:35 AM,01/Apr/26 11:35 AM,,,Kardo 1,30/Apr/26 12:00 AM,0,AS A USER I SHOULD BE ABLE TO SEE EDIT AND GIVE RATINGS TO COURSES,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3760623f,,,,,ghx-label-9,,To Do,,,,orange,,,,,0|i0004f:,,,UD Sprint 1,20/Apr/26 12:00 AM,,,,,,,,,,,,,,To Do,01/Apr/26 11:35 AM
AS A USER I SHOULD BE ABLE TO ACCESS COURSE  USING SEARCH BAR,UD-11,10055,Story,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 11:38 AM,01/Apr/26 11:38 AM,,,Kardo 1,17/Apr/26 12:00 AM,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@263d2736,,,,,,,,,,,,,,,,0|i0004n:,,,UD Sprint 1,15/Apr/26 12:00 AM,,,,,,,,,,,10053,UD-10,COURSE DETAILS,To Do,01/Apr/26 11:38 AM
